Time,Right Hand Signal,Head Signal,Strain Gauge Signal
1684219075.126565,896,1152,63488
1684219075.1765893,8704,4992,50496
1684219075.2265942,6848,1216,62976
1684219075.276573,4544,768,62848
1684219075.326564,768,6016,64512
1684219075.3765993,960,960,64576
1684219075.4265687,704,5120,65472
1684219075.4765818,704,832,61696
1684219075.526583,4608,896,63424
1684219075.576604,4608,4736,61440
1684219075.6265671,4544,4480,65472
1684219075.6765654,4736,4480,60736
1684219075.7265651,5760,5760,53760
1684219075.7765694,4672,5120,58304
1684219075.826566,8640,9088,65408
1684219075.8765733,5312,4800,64320
1684219075.926571,704,768,61312
1684219075.976569,8000,8192,52288
1684219076.02657,4608,1344,53696
1684219076.076566,4608,1024,57856
1684219076.126565,832,5952,61248
1684219076.1765678,896,960,64384
1684219076.226568,4416,7360,51840
1684219076.2765625,2240,832,64448
1684219076.3265636,768,960,65472
1684219076.3765678,5376,768,61184
1684219076.4265904,832,1152,65088
1684219076.4765637,832,768,65088
1684219076.526592,5440,3264,64960
1684219076.5765722,768,1344,63552
1684219076.6265604,4160,8192,57856
1684219076.6765645,768,1408,65024
1684219076.7265654,768,768,64448
1684219076.7765694,4544,10112,54400
1684219076.8265643,768,1152,61120
1684219076.8765743,768,3584,65408
1684219076.9265683,4544,4992,60352
1684219076.9765694,704,832,65472
1684219077.026566,2688,896,63104
1684219077.0765874,768,960,62784
1684219077.1265624,704,768,62976
1684219077.1765928,5056,832,61568
1684219077.2265627,768,1152,63744
1684219077.276593,5312,704,65472
1684219077.3265648,768,1152,62336
1684219077.3765903,768,768,62528
1684219077.4265637,1280,5952,65024
1684219077.476591,768,5312,64960
1684219077.5265822,704,4480,62080
1684219077.5765963,896,960,65216
1684219077.6265652,768,768,63296
1684219077.6765668,704,3648,62208
1684219077.7265651,960,896,63424
1684219077.7765665,704,2816,62400
1684219077.8265753,1472,4480,65472
1684219077.8765864,832,4608,52800
1684219077.926574,5376,768,62144
1684219077.976568,768,768,65024
1684219078.0265667,768,768,61952
1684219078.0765653,4160,2368,63488
1684219078.1265643,832,1088,63744
1684219078.1765678,768,768,63488
1684219078.2265663,2240,1408,62464
1684219078.276565,4480,5056,57344
1684219078.3265612,832,8000,65472
1684219078.3765664,704,960,63872
1684219078.426588,6912,9152,65472
1684219078.4765625,768,832,65408
1684219078.5265737,896,832,65472
1684219078.5765681,832,3200,61440
1684219078.6265633,4736,4480,63296
1684219078.6765633,4800,4672,51968
1684219078.7265596,8704,832,63488
1684219078.776566,4608,1344,55552
1684219078.8265624,5248,4928,55616
1684219078.876572,896,2752,64384
1684219078.9265661,832,832,63936
1684219078.9765682,896,2816,63104
1684219079.026566,768,1344,62336
1684219079.076585,832,768,63936
1684219079.1265593,4480,2816,64576
1684219079.17659,832,768,64256
1684219079.2265632,4544,10944,52864
1684219079.276562,704,1152,65472
1684219079.3265603,768,832,65472
1684219079.3765647,4480,960,63552
1684219079.426564,768,832,65472
1684219079.476562,1856,1344,64448
1684219079.5265741,4480,4864,54272
1684219079.5765636,768,960,64576
1684219079.6265666,896,832,63040
1684219079.676563,1792,1152,61440
1684219079.7265604,768,832,63168
1684219079.7765648,9152,5184,53824
1684219079.8265593,704,1344,63424
1684219079.8765793,768,3648,61952
1684219079.9265683,4544,5248,52928
1684219079.9765673,768,832,63040
1684219080.026568,1472,5952,64896
1684219080.0765648,704,768,61824
1684219080.1265612,768,5632,62592
1684219080.1766074,704,4480,53504
1684219080.2266116,4544,4480,54592
1684219080.2765567,768,3072,63424
1684219080.326544,768,960,62400
1684219080.3765888,768,5056,65472
1684219080.4266062,19456,768,64512
1684219080.476596,960,5376,65472
1684219080.5265863,768,768,62848
1684219080.5765574,768,1344,61696
1684219080.6265507,768,768,65152
1684219080.676558,5376,5184,64000
1684219080.7265606,832,1472,64000
1684219080.7765708,768,5632,61696
1684219080.826561,768,1152,65280
1684219080.8765707,4736,4544,53376
1684219080.9265645,768,6016,65472
1684219080.9765666,768,960,64384
1684219081.0265648,768,3328,61568
1684219081.0765834,3008,768,62912
1684219081.1265583,896,4672,65472
1684219081.1765876,768,4608,65472
1684219081.2265608,6144,1152,60672
1684219081.2765605,768,8896,58560
1684219081.3265576,9280,7808,58816
1684219081.3765628,4736,5120,65472
1684219081.4265614,4928,4480,65472
1684219081.4765553,768,1408,61568
1684219081.5265882,768,832,65472
1684219081.5765703,4864,10624,65408
1684219081.6265564,5888,1024,63424
1684219081.676554,4544,832,61952
1684219081.726559,1088,832,63104
1684219081.7765815,768,960,64448
1684219081.8265736,960,896,65472
1684219081.8765728,4480,768,63872
1684219081.926566,768,768,61312
1684219081.9765596,5248,1664,65472
1684219082.0265574,896,1408,64704
1684219082.0765755,768,704,64640
1684219082.1265702,768,8640,64832
1684219082.1765754,768,832,63616
1684219082.2265909,4928,6080,52544
1684219082.2765558,768,1152,64960
1684219082.3265562,768,832,63360
1684219082.376562,4480,9088,65472
1684219082.4265594,768,832,64064
1684219082.4765594,832,1984,65472
1684219082.5265672,4672,4864,53056
1684219082.5765646,768,960,62272
1684219082.6265602,3712,768,62912
1684219082.676562,768,1152,63488
1684219082.726558,768,768,64576
1684219082.7765608,9920,5568,52096
1684219082.8265772,768,5504,65472
1684219082.8765783,3712,4032,62400
1684219082.9265668,4544,5568,52928
1684219082.9765656,768,768,62528
1684219083.026563,1536,4032,63808
1684219083.0765586,768,1152,62784
1684219083.1265569,768,4416,65472
1684219083.1765862,1728,1088,63168
1684219083.2265584,768,832,61376
1684219083.2765584,768,4352,65152
1684219083.3265557,768,832,62400
1684219083.376559,768,1344,63424
1684219083.4265583,2560,768,64960
1684219083.4765587,768,5248,65088
1684219083.5265753,5696,768,65472
1684219083.5765631,704,1152,62464
1684219083.626561,768,768,62464
1684219083.6765578,768,3968,62720
1684219083.726556,960,1216,62592
1684219083.7765615,768,768,65344
1684219083.8265605,4544,1152,64768
1684219083.8765664,4608,1280,63616
1684219083.9265625,2240,4032,65472
1684219083.97656,832,1152,65472
1684219084.0265613,768,6016,65472
1684219084.0765765,832,1024,65280
1684219084.1265686,768,832,64064
1684219084.176563,5248,6144,58368
1684219084.2265854,4608,4480,54016
1684219084.2765543,4608,4608,53312
1684219084.326556,7232,832,62528
1684219084.3765588,704,4928,54464
1684219084.426556,4608,9024,55040
1684219084.4765577,6784,1344,51456
1684219084.5265675,832,832,65472
1684219084.576562,6528,2816,62464
1684219084.6265585,832,1408,64064
1684219084.6765578,1024,896,61568
1684219084.7265549,3328,1408,63872
1684219084.7765598,832,832,62976
1684219084.8265574,4608,10944,65472
1684219084.8765635,768,960,63872
1684219084.9265616,768,768,64320
1684219084.9765718,768,832,55168
1684219085.0265605,768,832,62528
1684219085.0765555,832,960,65472
1684219085.1265557,832,1152,63808
1684219085.1765864,768,768,62912
1684219085.2265568,4480,1024,52032
1684219085.276556,768,1152,64960
1684219085.3265553,768,768,64832
1684219085.3765798,6080,2368,65280
1684219085.4265645,768,832,62656
1684219085.476556,4544,5184,64576
1684219085.5265682,4608,5568,53888
1684219085.5765615,704,768,62848
1684219085.6265593,1600,5952,62400
1684219085.6765566,768,832,62976
1684219085.726556,704,5568,65472
1684219085.776559,4544,5120,53824
1684219085.8265567,768,832,63936
1684219085.8765707,768,768,62144
1684219085.9265616,4544,5248,58304
1684219085.9765596,768,768,63680
1684219086.0265853,6464,768,65472
1684219086.0765555,768,1216,62912
1684219086.1265533,5312,4032,61888
1684219086.1765556,960,1536,53184
1684219086.2265553,832,768,63104
1684219086.276556,4928,4736,65472
1684219086.3265524,4544,832,61120
1684219086.3765578,3008,5632,65408
1684219086.426555,768,1152,65472
1684219086.476559,768,5120,65472
1684219086.5266125,896,9792,53696
1684219086.5765657,768,832,61696
1684219086.6265519,768,2816,64320
1684219086.676551,2944,768,65472
1684219086.7265577,4480,4672,54976
1684219086.776563,704,768,62464
1684219086.826558,768,1152,65472
1684219086.8765647,1024,768,64320
1684219086.9265602,5248,4096,65472
1684219086.9765613,4672,5184,54016
1684219087.026558,3840,4864,61632
1684219087.0765765,4608,5120,62976
1684219087.1265552,4736,4480,59200
1684219087.176586,4480,6528,61440
1684219087.226556,768,1152,63808
1684219087.2765539,4672,7040,52992
1684219087.3265784,832,832,58624
1684219087.376592,768,960,64448
1684219087.426561,960,4544,65472
1684219087.476547,768,768,64000
1684219087.5265563,768,832,63936
1684219087.576564,5632,1152,65472
1684219087.6265814,704,1152,64448
1684219087.676563,4672,832,63552
1684219087.726558,832,1408,64448
1684219087.7765622,768,768,65472
1684219087.8265758,832,5120,65472
1684219087.8765738,768,1152,65472
1684219087.9265587,768,768,64512
1684219087.9765642,832,960,63296
1684219088.0265872,768,768,65472
1684219088.0765553,896,2816,65472
1684219088.1265543,768,960,62208
1684219088.17656,768,832,62400
1684219088.2265568,2944,960,54592
1684219088.2765546,768,960,64448
1684219088.3265526,768,768,63040
1684219088.3765612,4544,1024,62528
1684219088.4265585,704,768,62848
1684219088.476556,2944,3584,65472
1684219088.526557,768,1152,65472
1684219088.5765593,768,768,62528
1684219088.6265574,3072,3584,64128
1684219088.676555,704,832,62720
1684219088.7265522,768,3968,65280
1684219088.7765598,896,1024,64256
1684219088.826559,704,832,63424
1684219088.8765628,768,832,61568
1684219088.9265602,768,5056,65472
1684219088.9765599,768,2816,63104
1684219089.0265613,768,768,65152
1684219089.0765781,768,1024,65472
1684219089.126554,4544,832,62784
1684219089.1765575,768,4864,65472
1684219089.2265575,1280,832,63488
1684219089.2765548,1088,2816,64512
1684219089.326551,4544,5248,53504
1684219089.3765695,4480,2944,65472
1684219089.4266884,5248,1408,62656
1684219089.4765615,4608,9088,53248
1684219089.526559,3712,3648,65472
1684219089.576562,4672,960,61248
1684219089.6265755,4608,7040,62720
1684219089.6765585,768,1152,63232
1684219089.726552,4544,4736,54080
1684219089.77656,2688,4480,63104
1684219089.8265553,4608,1536,52672
1684219089.8816772,1600,896,62912
1684219089.9265902,896,4480,65472
1684219089.976559,4608,5248,64064
1684219090.0265532,4864,768,64064
1684219090.076539,2560,1152,64320
1684219090.1265793,768,768,64576
1684219090.1765506,6912,1984,64640
1684219090.226581,896,1216,65472
1684219090.2765524,768,4416,64384
1684219090.326579,768,1408,62400
1684219090.376561,768,768,65472
1684219090.4265888,4800,10560,65472
1684219090.4765487,768,1216,65472
1684219090.526553,768,5248,64192
1684219090.5765502,704,960,65472
1684219090.6265552,768,896,65472
1684219090.6765532,1024,2048,64000
1684219090.7265513,1024,768,63808
1684219090.776549,768,832,63872
1684219090.8265538,9088,4992,58880
1684219090.8765786,768,5440,65472
1684219090.9265585,768,832,65472
1684219090.9765496,6080,1408,64320
1684219091.0265467,704,768,64320
1684219091.076605,4992,9408,64256
1684219091.126553,768,1408,63552
1684219091.176573,768,832,63552
1684219091.2265556,768,1216,62144
1684219091.276574,704,832,64448
1684219091.32655,768,5952,65472
1684219091.376547,4544,5120,53312
1684219091.4265542,768,2880,61248
1684219091.476551,3008,896,65472
1684219091.526588,960,1152,65472
1684219091.5765634,768,832,63552
1684219091.626565,5760,1408,65280
1684219091.6765563,768,704,62016
1684219091.7265482,5248,3968,65216
1684219091.7765496,4544,1728,60160
1684219091.8265538,768,768,63424
1684219091.8766212,4928,4800,62400
1684219091.9265604,768,832,65472
1684219091.976551,1216,6400,62976
1684219092.026551,832,1152,65024
1684219092.0765512,768,896,62976
1684219092.1265569,768,1024,61760
1684219092.1765492,896,1088,63552
1684219092.2265785,832,1408,62912
1684219092.2765508,2624,768,64320
1684219092.3265717,4544,5120,52736
1684219092.3765466,5696,7680,65472
1684219092.426575,832,5632,65472
1684219092.4765632,8640,9088,55424
1684219092.5265784,8832,7488,53888
